question,answer
"Spud, Shot and Hand are all types of what?",Gun
"In the game ‘Metal Gear Solid’,who is the twin brother of Solid Snake?",Liquid Snake
What did fictional detective Sherlock Holmes keep in the toe of his Persian slipper?,Tobacco
Which creatures are used as croquet balls in the novel ‘Alice’s Adventures in Wonderland’?,Hedgehogs
Which Spanish artist painted the series known as ‘Fantasy and Invention’ in the 18th century?,Francisco Goya
‘Mucke’ is the Serbo-Croatian name for which UK tv series?,Only Fools and Horses
"Comedian, actor and director Melvin Kaminsky is better known by what name?",Mel Brooks
The Belgian beer ‘Kriek’ is flavoured with which fruit?,Cherry
The Forest of Arden is in which English county?,Warwickshire
Louis Reard created which two-piece item of clothing in 1946?,Bikini
What colour are the flowers of a hawkbit plant?,Yellow
In which British city is the Jewry Wall Museum?,Leicester
What is the main ingredient of borscht soup?,Beetroot
Thanatology is the scientific study of what?,Death
Which author wrote ‘I came form Des Moines. Somebody had to.’ in their book ‘The Lost Continent’?,Bill Bryson
Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,Al Pacino
"Brown, American Rainbow and Cutthroat are all types of which fish?",Trout
Who designed St Paul’s Cathedral in London?,Christopher Wren
What colour is the liqueur ‘Parfait d’Amour’?,Purple
What is the name of the clarified butter used in Indian cookery?,Ghee
"In the 2005 Julian Barnes novel ‘Arthur and George’, who is Arthur?",Arthur Conan Doyle
"In humans, epicondylitis affects which part of the body?",Elbow
The UEFA (Union of European Football Associations) was founded in which European country in 1954?,Switzerland
From which 1968 film did English band Duran Duran take their name?,Barbarella
The ‘La Scala Opera House’ is in which European city?,Milan
Who is the lead singer of the English band ‘The Specials’?,Terry Hall
"Elvis Presley’s manager, Andreas Cornelis van Kujik, was better known by what name?",Colonel Tom Parker
The Transandine Railway runs between which two South American countries?,Chile and Argentina
"Sinology is the study of the language, history and culture of which country?",China
"On the human body, a keloid is a type of what?",Scar
"In the British military, a bombadier is equivalent to which other rank?",Corporal
What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,Bear
Tirana is the capital of which European country?,Albania
"In our solar system, which is the sixth planet from the sun?",Saturn
Composer Giacomo Puccini died leaving which opera unfinished?,Turandot
"King Louie, Akela and Ziggy are all characters in which Disney film?",The Jungle Book
‘Impossible is nothing’ is the motto of which sportswear company?,Adidas
Who wrote the play ‘The Iceman Cometh’?,Eugene O’Neill
"Which children’s playground game is sometimes called ‘Fivestones’, ‘Knucklebones’ or ‘Snobs’?",Jacks
Mr and Mrs Potato Head appear in which film franchise?,Toy Story
How many square stickers are on each face of a classic Rubik’s Cube?,Nine
Who composed the ballet ‘Swan Lake’?,Pyotr Tchaikovsky
"In 1818, British obstetrician James Blundell performed the first successful human what?",Blood transfusion
"In cooking, 190 degrees Celsius is the equivalent to which Gas Mark?",5
What do the interior angles of a hexagon add up to in degrees?,720
The roe of lumpfish is used as a substitute for which delicacy?,Caviar
"In Vermont, USA, there is an old law stating that it is illegal for women to wear what without their husbands written consent?",False teeth
"In medicine, algology is the study of what?",Pain
How many imperial gallons are in a firkin?,Nine
The meibomian gland is found in which part of the human body?,Eyelid
The Manuel M.Torres Dam is the largest hydro plant in which country?,Mexico
Which British swimmer won Olympic Gold Medals in 2008 in the 400 and 800 m freestyle?,Rebecca Adlington
"In the NATO phonetic alphabet, which word represents the letter I?",India
"Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II?",Norman Mailer
Which Brooklyn-born author had parents named Malachy and Angela?,Frank McCourt
What is the title of the 1944 film starring Barbara Stanwyck as the wife who seduces an insurance salesman into killing her husband?,Double Indemnity
"What is the nickname of Thierry Guetta, the French-born street-artist?",Mr Brainwash
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Farthings
What is the name of a triangle which has sides unequal in length?,Scalene
‘Quicksilver’ is another name for which metallic element?,Mercury
"What is the name of the Japanese dish of bite-sized pieces of raw fish served with dipping sauces, vegetables and wasabi?",Sashimi
Who is recognised as Britain’s first Prime Minister?,Robert Walpole
"In the human body, which bone connects the humerus with the calvicle?",Scapula (shoulder blade)
The Cuatro Torres Business Area is in which European city?,Madrid
The first issue of which British children’s comic was published in April 1950?,Eagle
"The 1951 ‘Treaty of Peace With Japan’ which served to officially end World War II, is commonly known as what?",San Francisco Peace Treaty
The Tumut Hydroelectric Power Station is in which Australian state?,New South Wales
Who always holds the title of the Supreme Governor of the Church of England?,The British monarch
How many players are on the field in a baseball team?,Nine
"In the poem ‘Monday’s Child’, what is Wednesday’s child full of?",Woe
"In London in 1788, the ‘Daily Universal Register’ was relaunched as which newspaper?",The Times
Which clothing chain was founded by brothers Clemens and August Brenninkmeijer in 1841?,C&A
Falange was the name given to several political movements and parties dating from the 1930’s in which European country?,Spain
"In the novel ‘Jane Eyre’ by Charlotte Bronte, what is the name of Mr Rochester’s first wife?",Bertha Mason
"Which fictional character is the subject of George Frampton’s bronze statue in Kensington Gardens, London?",Peter Pan
Who wrote the novel ‘The Prime of Miss Jean Brodie’?,Muriel Spark
Sindh is a province of which Asian country?,Pakistan
Madame de Pompadour and Madame du Barry were mistresses of which French King?,Louis XV
Odontology is the scientific study of what?,Teeth
The wine ‘Bull’s Blood’ of Eger is produced in which country?,Hungary
The 1932 film ‘The Mask of Fu Manchu’ revolves around Fu Manchu’s quest for the sword and mask of which historical figure?,Genghis Khan
The mask worn in the 1996 film ‘Scream’ is based on a painting by which artist?,Edvard Munch
Which US athlete won a gold medal for the high jump in the 1968 Summer Olympics?,Dick Fosbury
In which London street does fictional character Sweeney Todd have his barber shop?,Fleet Street
The Nullarbor Plain is in which country?,Australia
What is the official language of Nicaragua?,Spanish
Who wrote the plays ‘The Cocktail Party’ and ‘The Family Reunion’?,T.S.Eliot
"Used in cooking, agar-agar is a gelatin made from what?",Seaweed
The fictional character ‘Disco Stu’ appears in which US cartoon tv Series?,The Simpsons
"Marie Antoinette, Queen of France and Navarre, was born in which country?",Austria
The song ‘Seventy Six Trombones’ is from which musical show?,The Music Man
Which US President was given the nickname the ‘Great Engineer’?,Herbert Hoover
"In the human body, what is stored in adipose tissue?",Fat
A craniotomy is the surgical removal of a portion of which part of the human body?,Skull
Which country will host the 2014 FIFA World Cup?,Brazil
Which country has the internet domain .de?,Germany
A sequicentenary is an anniversary of how many years?,150
What is the International Vehicle Registration for Cambodia?,K
Opera singer Leyla Gencer was born in which European country?,Turkey
In which South American country does Angostura Bitters originally come from?,Venezuela
The Hel Peninsula is part of which European country?,Poland
Which US singer released a 2010 album entitled ‘The Lady Killer’?,Cee Lo Green
How many months is the gestation period for an elephant?,22
"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",Cheese
Adam Richman takes on food challenges in which US television series?,Man v. Food
Creme Anglaise is the French version of which English dessert item?,Custard
Who was known as the ‘Waltz King’ of Vienna?,Johann Strauss II
Erotology is the study of what?,Sex
‘The King of Barataria’ is the subtitle of which Gilbert and Sullivan operetta?,The Gondoliers
"Sufferers, Locksmen and Dreads are followers of which religion?",Rastafarian
The 1965 film ‘The Heroes of Telemark’ is set in which European country?,Norway
What colour are the two stars on the national flag of Syria?,Green
"In humans, Duane Syndrome affects which part of the body?",Eye
Taphephobia is the abnormal fear of being what?,Buried alive
What relation was Louis XV of France to Louis XIV of France?,Great-grandson
What type of leaves does a koala feed on?,Eucalyptus
What is the name of the village druid in the comic strip ‘Asterix’?,Getafix
In which English county was former British Prime minister Margaret Thatcher born?,Lincolnshire
"In the British monarchy, who succeeded Queen Anne to the throne?",King George I
Who directed the 1941 film ‘The Maltese Falcon’?,John Huston
The 1981 film ‘Chariots of Fire’ was based on the stories of which two British athletes?,Harold Abrahams and Eric Liddell
