problem,answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
The Flying Pickets were a British vocal group who had Christmas no1 hit in 1983. What was the title of the song.,Only You,Last Christmas,Do They Know It's Christmas?,Wonderful Christmastime
"In Risk, what colour is Europe?",Blue,Red,Green,Yellow
Which British band named themselves after a South African football team?,Kaiser Chiefs,Arsenal FC,Manchester United,Birmingham City
How many female P.Ms have there been?,One,Two,Three,Four
"Newspapers come is various sizes, broadsheet being the largest, and tabloid being smaller, but what name is given to the smallest size.",Compact,Digest,Quarterfold,Miniature
Which wedding anniversary is celebrated with paper,1st,2nd,5th,10th
"Which American female rap artist, film & television actress release a song called Paper in 1998",Queen Latifah,Missy Elliott,Lil' Kim,MC Lyte
Who won the 2010 Giro D'Italia?,Ivan Basso,Alberto Contador,Bradley Wiggins,Marco Pantani
"In the Commonwealth games in Delhi, which British athlete won the mens 200m gold medal?",Leon Baptiste,David Greene,Chris Tomlinson,James Dasaolu
"Which singer picked up three Ivor Novello awards in May, including songwriter of the year for her hit single, The Fear?",Lily Allen,Duffy,Jessie J,Florence Welch
Which American singer was born Eleanora Fagan?,Billie Holiday,Ella Fitzgerald,Nina Simone,Sarah Vaughan
Which famous woman in history had a cottage in Shottery in Warwickshire?,Anne Hathaway,Mary Arden,Elizabeth I,Jane Austen
Who sang the theme song for the TV show 'Rawhide'?,Frankie Laine,Johnny Cash,Perry Como,Dean Martin
Which sea lies between Italy and the former Yugoslavia?,Adriatic,Tyrrhenian,Ionian,Aegean
In which country is the region Dalmatia?,Croatia,Montenegro,Slovenia,Bosnia and Herzegovina
Who was known as the Great Lover of the Silent Screen?,Rudolf Valentino,Douglas Fairbanks,Gary Cooper,John Gilbert
"Which actor plays Cate Blanchett's father in the 2004 film ""The Missing"", a story set in 19th century New Mexico where the father works with estranged daughter Blanchett to get her kidnapped child back?",Tommy Lee Jones,Clint Eastwood,Robert Duvall,Sam Elliott
How is Frances Gumm the actress better known?,Judy Garland,Vivian Leigh,Barbara Streisand,Bette Davis
"Who won the Best Actress Oscar for the 1988 film, The Accused?",Jodie Foster,Sally Field,Michelle Pfeiffer,Glenn Close
"Which  constellation contains many bright shining stars, such as Regulus?",Leo.,Orion,Scorpius,Taurus
"Which London river, now flowing underground, rises in Hampstead, flows through St. Pancras, down Farringdon Street and enters the Thames by Blackfriars Bridge?",River Fleet,River Wandle,River Tyburn,River Effra
-Day in 1944 was the greatest sea-bourn invasion in history. What was the code name for the operation?,Operation Overlord,Operation Neptune,Operation Market Garden,Operation Torch
On which island are the Cuillin Hills?,The Isle of Skye,The Isle of Mull,The Isle of Harris,The Isle of Islay
"Which dancer has only one notable film cameo, appearing with Sean Connery in the 1979 movie The First Great Train Robbery, breaking into a guarded station office.",Wayne Sleep,Rudolf Nureyev,Mikhail Baryshnikov,Fred Astaire
What was the first name of the character played by John Travolta in Saturday Night Fever.,Tony (Manero).,Vinny,Michael,Joey
In which 1969 movie did Michael Caine appear with his brother Stanley.,The Italian Job,Battle of Britain,Alfie,The Ipcress File
"In 1969, a man was stabbed to death by a member of the Hell's Angels at a Rolling Stones concert. Where was the concert held?",Altamont,Woodstock,Max Yasgur's Farm,Newport
"How long does it take, approximately, for light to travel from the Sun to the Earth?",About 8 minutes,About 5 minutes,About 12 minutes,About 20 minutes
"A Long Island Iced Tea is a cocktail based on vodka, gin, tequila, and which other spirit?",Rum,Whiskey,Triple sec,Absinthe
Anellini pasta is what type of shape?,Rings,Ovals,Triangles,Shells
A Cuba Libre is based on which spirit,Rum,Tequila,Vodka,Gin
Which company were responsible for the production of the Spitfire?,Supermarine,Hawker Siddeley,De Havilland,Bristol Aircraft
"The lyric Always sunny in a rich man's world', is from which song?","Money, Money, Money",Rich Girl,If I Had a Million Dollars,Money for Nothing
Who won the men's singles title at Wimbledon in 1987?,Pat Cash,Boris Becker,John McEnroe,Stefan Edberg
Who made Victor Krum's wand?,Gregorovitch,Ollivander,Carpenter,Fleamont Potter
What kind of creature is Firenze?,Centaur,Unicorn,Minotaur,Satyr
What building in Scotland is said to house the Holy Grail and features prominently at the end of The Da Vinci Code?,Rosslyn Chapel,St. Giles' Cathedral,Melrose Abbey,Glasgow Cathedral
In which sitcom did Penelope Wilton play the wife of Richard Briers?,Ever Decreasing Circles,One Foot in the Grave,The Good Life,The Office
Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley,Jennifer Saunders,Rebecca Front
"Which cockney private detective, co-created by Terry Venables, was portrayed on TV by Nicholas Ball?",James Hazell,Harry Stokes,Arthur Craven,Charlie Braine
Who in 1975 became the first black man to win a Wimbledon singles title?,Arthur Ashe,Althea Gibson,Mal Anderson,James Blake
Which South African fast bowler had the nickname White Lightning,Allan Donald,Shaun Pollock,Morne Morkel,Dale Steyn
"In 1953, Edmund Hillary was half of the famous pair to first do what?",Climb Everest,Climb K2,Reach the South Pole,Summit Mont Blanc
Another name for the Holy Wars between the  Christian states of Europe against the Saracens,Crusades,The Reformation,The Inquisition,The Reconquista
1986 film starring Goldie Hawn as a High School football coach.,Wildcats,Vision Quest,The Mighty Ducks,Lady Bugs
"Who was the 16th president of the U.S.A.,assasinated in 1865",Abraham LINCOLN,Andrew Johnson,James Buchanan,Ulysses S. Grant
"Which Italian explorer had ships named Nina, Pinta and Santa Maria?",Christopher COLUMBUS,Giovanni Caboto,Ferdinand Magellan,Amerigo Vespucci
Who had chart hits which included Annie`s Song and Rocky Mountain High?,John DENVER,James Taylor,Gordon Lightfoot,Jim Croce
"Which cartoon series featured the characters Lion-o, Cheetera, Tygra and Snarf/",Thundercats.,Silverhawks,G.I. Joe,Voltron
"Who was the leader of the gang whose members included Benny the Ball ,Brain and Choo Choo?",Top Cat.,Dick Dastardly,Yogi Bear,Mister Magoo
Which famous resident resides at Highgrove House?,The Prince of Wales,The Duke of Edinburgh,The Queen Consort,The Prime Minister
What is the currency of India?,Rupee,Dollar,Yen,Euro
How many avenues radiate from the Arc de Triomphe?,12,10,14,8
In which country is Dubrovnik?,Croatia,Greece,Italy,Montenegro
"The Dakar Rally (previously known as the Paris Dakar rally) is an annual event, but of which country is Dakar the capital city?",Senegal,Mali,Gambia,Mauritania
The Miller Brewing Company got its start in what U.S. city?,"Milwaukee, Wisconsin","Chicago, Illinois","Detroit, Michigan","Cleveland, Ohio"
Who did Simple Simon meet on his way to the fair?,The Pie man.,The Candy Man,The Baker,The Farmer
Which cartoon strip character first appeared in The Beano in 1951?,Dennis the Menace.,Gnasher,Minnie the Minx,Bash Street Kids
"The Asian Tsunami or Boxing day tsunami that hit Thailand, Indonesia and many other countries happened in what year?",2004,2002,2006,2001
"Following that year's April Budget, Alderman Sir Cuthbert Ackroyd, who later became Lord Mayor of London, bought the first what on 1 November 1956?",Premium Bond,Treasury Bill,Savings Account,Insurance Policy
"Produced between 1970 and 1974, what is a Bond Bug?",Car,Motorboat,Bicycle,Sailplane
What was Jacques Cousteau's mobile oceonagraphic laboratory.,Calypso,Nautilus,Aquarius,Poseidon
What is the name of the helicopter used to transport the President of the United States,Marine One,Air Force One,Bluebird One,Presidential Chopper
Which queen consort of England is associated with Hever Castle in Kent?,Anne Boleyn,Catherine of Aragon,Jane Seymour,Anne of Cleves
What was the capital of the United States between 1785 and 1790??,New York,Philadelphia,Boston,Charleston
Which country does the drink Cinzano come from?,Italy,Spain,France,Portugal
Which fictional girls' boarding school was created by the cartoonist Ronald Searle,St. Trinians,Malory Towers,Sweet Valley High,St. Margaret's Academy
Who played the character Mr Chips in the 2002 TV adaptation of Goodbye Mr Chips,Martin Clunes,Richard Griffiths,David Jason,Hugh Bonneville
Rarely is the question asked: Is our children learning?,George W Bush,Barack Obama,Bill Clinton,John McCain
"Are you going to come quietly, or do I have to use earplugs?",Spike Milligan,Terry Jones,Michael Palin,Eric Idle
Which shipping forecast area is directly north of German Bight?,Fisher,North Sea,Irish Sea,Biscay
By what name did Samuel Langhorne Clemens publish his novels under?,Mark Twain,Samuel Longley,Clemens Twain,Mark Langhorne
Who wrote the novel Rasselas in a single week in 1759 to pay for his mother's funeral?,Samuel Johnson,Daniel Defoe,Henry Fielding,Jonathan Swift
Who painted Girl with a Pearl Earring?,Johannes Vermeer,Rembrandt van Rijn,Pieter de Hooch,Frans Hals
What is 1009 when expressed as Roman Numerals?,MIX,MXXXX,MIXC,MIXI
Who had hits with Go Now and Nights in White Satin?,Moody Blues,The Searchers,The Hollies,The Animals
Which statesman was known as the Iron Chancellor?,Otto Van Bismark,Giuseppe Garibaldi,Count Camillo di Cavour,Kaiser Wilhelm I
What was left in Pandora's Box after all the evil escaped?,Hope,Fear,Despair,Anger
What type of bird was the first released by Noah?,Raven,Dove,Eagle,Parrot
What is the state capital of Florida?,Tallahassee,Miami,Orlando,Jacksonville
Who was sacked as the Beatles' drummer and replaced by Ringo Starr?,Pete Best,Stuart Sutcliffe,George Harrison,John Lennon
In which is Shakespeare's plays are the title character's last words the rest is silence?,Hamlet,Othello,King Lear,Macbeth
"Tsar Nicholas I abidacated in 1917, who was the other monarch to abdicate during this period?",Constantine I of Greece,Ferdinand I of Bulgaria,Karl I of Austria,Victor Emmanuel III of Italy
"Which Roman Emperor was allegedy killed by his wife, Aggripina, in AD54?",Claudius,Nero,Caligula,Tiberius
Whose last words were Et Tu Brute according to Shakespeare?,Julius Ceasar,Caesar Augustus,Mark Antony,Brutus
Mel Gibson (1990) and Kenneth Branagh (1996) have both played which character in movies?,Hamlet,Macbeth,Othello,King Lear
"The original United Artists film studio was founded in 1919 by D.W. Griffith, Mary Pickford, Douglas Fairbanks and who else?",Charlie Chaplin,Buster Keaton,Cecil B. DeMille,Ernst Lubitsch
Which Holiday movie favourite featured a character called Kevin McCallister?,Home Alone,The Santa Clause,Jingle All the Way,Elf
Who was the author of Pygmalion'?,George Bernard Shaw,Arthur Miller,T.S. Eliot,Harold Pinter
"Who was the third President of the USA, following on from George Washington and John Adams was also famed for his numerous inventions?",Thomas Jefferson,James Madison,Alexander Hamilton,James Monroe
What is the minimum age of someone running for the office of President of the United States?,35 years of age,30 years of age,32 years of age,40 years of age
England won the 1966 World Cup beating Germany 4-2. Hurst scored 3 of England's goals who scored the other?,Martin Peters,Geoff Hurst,Alan Ball,Bobby Moore
From which 1960s sci-fi movie did 1980s pop sensation Duran Duran take their name from a character from the movie?,Barbarella,Solaris,The Day the Earth Stood Still,The Fantastic Voyage
What year did E.T. Hit the cinema screen?,1982,1980,1985,1983
The Red Sea is connected to the Indian Ocean by which gulf ?,Gulf of Aden.,Gulf of Oman,Gulf of Suez,Gulf of Aqaba
The Red Setter is more properly known by which name?,The Irish Setter.,The English Setter,The American Setter,The Scottish Setter
What was the name of the World War I fighter ace nicknamed the Red Baron?,Manfred von Richtofen.,Göring von Jäger,Erich Hartmann,Franz von Staufenberg
What is the capital of the U.S. state of Connecticut?,Hartford.,New Haven,Bridgeport,Stamford
What was founded by Ferdinand II of Aragon and Isabella I of Castile to keep Catholic orthodoxy as the major religion of their kingdoms?,Spanish Inquisition,Council of Trent,Spanish Armada,Reconquista
"In golf, what name is given to a score of three under par on a given hole?",Albatross,Eagle,Condor,Bogey
"In dentistry, what is the name given to hardened dental plaque?",TARTAR.,Calculus,Cementum,Dentin
Which singer played the Goblin King Jareth in the film Labyrinth'?,David Bowie,Elton John,Prince,Michael Jackson
Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Tina Turner,Sharon Stone,Demi Moore,Michelle Pfeiffer
"Name the fantasy movie directed by Terry Gilliam, where 6 dwarves have stolen a map.",Time Bandits,The Brothers Grimm,The Adventures of Baron Munchausen,The City of Lost Children
"Which TV comedy had characters McLaren, Blanco & Warren",Porridge,Fawlty Towers,Dad's Army,The Good Life
In which TV series would you find an Eagle Transporter,Space 1999,Battlestar Galactica,Star Trek: The Original Series,The Expanse
Which jazz saxophonist was nicknamed Bird,Charlie Parker,John Coltrane,Ornette Coleman,Stan Getz
Which patriotic Irving Berlin song includes the line  From the mountains to the prairie to the oceans white with foam ?,God Bless AMERICA.,This Land is Your Land,America the Beautiful,The Star-Spangled Banner
Who created the Miss World pageant?,Eric Morley.,Hugh Hefner,Jack O'Neill,John Johnson
In Egyptian myth who was the God of chaos and disorder?,Seth,Horus,Anubis,Osiris
What type of creature is a Painted Dragon?,Lizard.,Snake,Frog,Salamander
Which method of painting consists of applying pigment to wet plaster?,Fresco.,Tempera,Oil painting,Acrylic painting
Who is credited with the discovery of the tomb of King Tutankhamen in 1922?,Howard Carter,Lord Carnarvon,Hiram Bingham,Walter Emory
The King of Wishful Thinking was a hit song used during the opening credits of the movie Pretty Woman. Who sang it?,Go West,Pet Shop Boys,Eurythmics,Culture Club
"What dish, especially popular in parts of Wales and the English Midlands,  is traditionally made from pig's heart, liver and fatty belly meat or bacon minced together, with herbs added for flavouring and sometimes bread crumbs",Faggots,Haggis,Black Pudding,Bangers and Mash
What was the name of Shari Lewis' sassy sock puppet?,Lamb Chop.,Socko,Puppet Pals,Chubby Cheek
Captain Corelli's mandolin is a book a film set in which country,Greece,Italy,Turkey,Cyprus
The Bull is the village pub in an everyday tale of country folk. In which village is The Bull?,Ambridge,Upper Banchory,Lower Loxley,Middlemarch
What is the second biggest city in the UK?,Birmingham,Manchester,Leeds,Glasgow
Who was the second wife of Henry VIII?,Anne Boleyn,Catherine of Aragon,Jane Seymour,Catherine Parr
Which actor does the interviewing in 'Interview with a Vampire'?,Christian Slater,Tom Cruise,Brad Pitt,Keanu Reeves
What is the southernmost city in USA,Honolulu,Miami,Key West,New Orleans
"In Vladimir Nabokov's book ""Lolita"", what is Lolita's real name?",Dolores HAZE,Daphne Haze,Lydia Haze,Dolores Lane
"Which Shakespeare play tells the story of Prospero, the rightful Duke of Milan?",The TEMPEST,A Midsummer Night's Dream,The Merchant of Venice,As You Like It
Which RAF fighter-bomber was built by the Panavia partnership?,The TORNADO,The Harrier,The Phantom,The Buccaneer
What was the name of the sixth studio album released by Prince and the Revolution in June of 1984?,Purple RAIN,1999,Around the World in a Day,Controversy
The undersurface of a person's foot or of a shoe?,Sole,Heel,Arch,Toe
In which film series would you expect to film Katniss Everdeen and Peeta Malark?,The Hunger Games,Divergent,Maze Runner,Percy Jackson
"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",Only Fools and Horses,The Office,Cheers,Fawlty Towers
What did my true love bring to me on the Sixth Day of Christmas?,Six Geese-A-Laying,Five Golden Rings,Four Calling Birds,Three French Hens
Louis Smith won an individual silver medal in gymnastics at the 2012 London Olympics. For what discipline?,Pommel Horse,Vault,Floor Exercise,Parallel Bars
What animal did Reggie Perrin think of every time his Mother-in-law was mentioned?,A Hippopotamus.,A Rhinoceros,An Elephant,A Crocodile
Which former prime minister appeared on the Morecambe and Wise Christmas Special in 1978?,Harold Wilson,Edward Heath,James Callaghan,Margaret Thatcher
"Where does the infamous ""Streif"" downhill ski race take place?",Kitzbühel,Zermatt,St. Anton,Chamonix
What song was a hit for Tom Jones and Cerys Matthews in 1999?,Baby it's cold outside,I Who Have Nothing,Delilah,What's New Pussycat?
How many lines are there in a sonnet?,14,12,16,10
What is the American version of Strictly Come Dancing called?,Dancing With The Stars,So You Think You Can Dance,America's Next Top Model,The Masked Singer
What is the lightest metal under standard conditions?,Lithium,Sodium,Potassium,Beryllium
What artist designed the logo for Chupa Chups lollipops?,Salvador Dali,Pablo Picasso,Joan Miró,Henri Matisse
"What is being built in the Olympic Park, that will be the world's longest and tallest of its kind?",A slide,A roller coaster,A zip line,A observation tower
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther,Jaguar,Leopard,Cheetah
What was the first Beatles film?,A Hard Day's Night,Help!,Magical Mystery Tour,Let It Be
What was the name of the Liverpool nightclub where the Beatles regularly played?,The Cavern,The Royal Court,The Philharmonic,The Barrowlands
How many US states are prefixed by the word New?,4,3,5,2
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?",Rebecca,Vertigo,Psycho,The Birds
In which New York borough would you find Hell’s Kitchen?,Manhattan,Brooklyn,Queens,The Bronx
Which airline is nicknamed ‘The Flying Kangaroo’?,QANTAS,Jetstar Airways,Virgin Australia,Air New Zealand
Which cartoon character had the maiden name ‘Slaghoople’?,Wilma Flintstone,Betty Rubble,Marge Simpson,Lois Griffin
‘Think Different’ is an advertising slogan for which company?,Apple (computers),Microsoft (software),Samsung (electronics),Sony (gaming)
Which ‘A’ is a calculating frame with sliding balls on wires?,Abacus,Aditro,Algebra,Aperture
The rowan tree is also known as the Mountain ‘what’?,Ash,Maple,Birch,Willow
Which ‘A’ means in the open air?,Al fresco,A la carte,In situ,En plein air
Buenos Aires is the capital of which South American country?,Argentina,Brazil,Chile,Colombia
Apiculture is the raising and care of which creatures?,Bees,Butterflies,Ants,Wasps
What is the capital of Indonesia?,Jakarta,Bali,Surabaya,Medan
Which vegetable was the first to be canned?,Peas,Carrots,Green beans,Corn
"In computers, the X-Y Position Indicator for a Display System is now known as what?",Cursor,Pointer,Marker,Selector
The Khyber Pass is approximately how many miles long?,33 Miles,25 Miles,40 Miles,50 Miles
"Which fruit did Nell Gwynn, mistress of King Charles II, sell in Drury Lane?",Oranges,Apples,Pears,Cherries
The town of Tobermory is on which Scottish island?,Mull,Skye,Islay,Jura
"In the novel ‘Wuthering Heights’ by Emily Bronte, Catherine’s father found Heathcliffe on the streets of which English city?",Liverpool,Manchester,Birmingham,Newcastle
Which Asian country hosted its first Formula One Grand Prix motor race in October 2010?,South Korea,Japan,Singapore,Malaysia
"In UK currency, how many sides does a twenty pence piece have?",Seven,Five,Six,Eight
"In humans, otalgia, is the medical term for what?",Earache,Sinus pressure,Toothache,Throat pain
"British MP, Diane Abbott, learned to play which musical instrument in the tv series ‘Play It Again’?",Piano,Violin,Guitar,Flute
Cristina Fernandez de Kirchner became President of which South American country in December 2007?,Argentina,Chile,Uruguay,Paraguay
"In Greek mythology, what was the name of the nymph who fell in love with Narcissus, but who was said to have pined away when her love was not returned, leaving only her voice?",Echo,Leda,Calypso,Ariadne
The Marquesas Islands lie in which ocean?,Pacific,Atlantic,Indian,Arctic
Keflavik is the main international airport of which country?,Iceland,Greenland,Norway,Denmark
Which British artist’s works include ‘The First Real Target’?,Peter Blake,David Hockney,Damien Hirst,Banksy
Which King of England sold Dunkirk to Louis XIV of France?,Charles II,James II,Charles I,William III
What was the middle name of US actor James Dean?,Byron,Albert,Michael,Robert
Which French author wrote the fairy tales ‘Little Red Riding Hood’ ‘Sleeping Beauty’ and ‘Puss in Boots’?,Charles Perrault,Jean de La Fontaine,Victor Hugo,Gustave Flaubert
Author J.R.R. Tolkien was born in which country?,South Africa,United Kingdom,Ireland,New Zealand
The pilgrim route to Santiago de Compostela in Northern Spain is known as the ‘Way’ of which saint?,Saint James,Saint Peter,Saint John,Saint Francis
Peter O’Sullevan was a BBC commentator for which sport?,Horse racing,Cricket,Football,Tennis
Who was the first Hanover King of England?,George I,James II,George II,William III
Which group released an album in 1986 entitled ‘The Queen is Dead’?,The Smiths,The Cure,Depeche Mode,New Order
Which British Prime Minister said of Downing Street ‘One of the most precious jewels in the national heritage’?,Margaret Thatcher,Tony Blair,David Cameron,Gordon Brown
Antigonus is a character in which Shakespeare play?,The Winter’s Tale,A Midsummer Night's Dream,The Tempest,Much Ado About Nothing
Which British monarch famously said ‘I don’t wish to open windows into men’s souls’?,Queen Elizabeth I,Queen Victoria,King Henry VIII,Queen Mary I
Which bodily fluid is collected in a lachrymatory?,Tears,Saliva,Urine,Blood
Which British singer played Jareth the Goblin King in the 1986 film ‘Labyrinth’?,David Bowie,Elton John,George Michael,Simon Le Bon
Golfer Ernie Els was born in which country?,South Africa,Australia,India,United States
Aconcagua is the highest mountain in which mountain range?,Andes,Rocky Mountains,Himalayas,Alps
The 1987 film ‘Cry Freedom’ is a biographical drama about which South African civil rights leader?,Steve Biko,Nelson Mandela,Desmond Tutu,Oliver Tambo
Which British actress played Valerie in the 1997 film ‘Nil By Mouth’?,Kathy Burke,Emma Thompson,Judi Dench,Thandie Newton
"What was the name of the Brazilian player who won the Women’s Singles Finals at Wimbledon in 1959, 1960 and 1964?",Maria Bueno,Rosemary Casals,Nancy Richey,Darlene Hard
"Apart from English, what is the official language of Canada?",French,Spanish,German,Italian
What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,Mallard,Flying Scotsman,LNER A4 4489 Dominion of Canada,Duchess of Hamilton
Singer and musician Bono called which venue ‘Rock and roll’s great cathedral’?,Madison Square Garden,The O2 Arena,Wembley Stadium,The Staples Center
What type of creature is a bufflehead?,Duck,Geese,Swans,Herons
The 1950’s Mau Mau uprising was against the British occupation of which country?,Kenya,Uganda,Tanzania,Somalia
What is a positively charged ion called?,Cation,Anion,Neutral Ion,Radical Ion
Which 5th/6th Century Buddhist monk is described in Chinese texts as ‘The Blue-Eyed Barbarian’?,Bodhidharma,Xuánzàng,Dajianluo,Dīpankara
In which part of the human body is the limbic system?,Brain,Spinal Cord,Liver,Heart
Which year saw the only hijacking of a British commercial flight?,1970,1968,1972,1975
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,Mauretania,Olympic,Lusitania,Aquitania
Which European city had the world’s first birth control clinic?,Amsterdam,Berlin,Paris,London
In which James Bond film does actress Jane Seymour play Solitaire?,Live and Let Die,Diamonds Are Forever,The Man with the Golden Gun,Octopussy
What type of creature is a tanager?,Bird,Mammal,Reptile,Amphibian
"In ‘Follow That Camel’, the fourteenth Carry On film, Sid James was replaced by which US actor?",Phil Silvers,Jerry Lewis,Don Rickles,Jack Lemmon
"A mahout is a person who works, tends and rides which animal?",Elephant,Camel,Horse,Bison
How many medals did the United States win at the 2010 Winter Olympics?,37,30,25,44
‘The Weeping Woman’ is the work of which artist?,Pablo Picasso,Henri Matisse,Salvador Dalí,Joan Miró
The Koppen System is a classification system for what?,Climate,Plant varieties,Soil types,Weather patterns
"In humans, a hemispherectomy is the removal of half of the what?",Brain,Heart,Liver,Lung
"In Greek mythology, Tiresias disclosed the crimes of who?",Oedipus,Creon,Theseus,Agamemnon
The United Nations University is based in which Asian city?,Tokyo,Seoul,Bangkok,Beijing
What is the name of the iron hook which is attached to the pole used by fisherman to land a heavy fish?,Gaff,Talon,Netter,Crank
Which English singer/songwriter/musician wrote the Tremeloes hit ‘Here Comes My Baby’ at the age of eighteen?,Cat Stevens,Elton John,David Bowie,Eric Clapton
Mearth was the name of the child of which US tv characters?,Mork and Mindy,Laverne and Shirley,The Fonz and Pinky,Will and Grace
In which state of the US is it illegal to mis-pronounce the name of the state?,Arkansas,Tennessee,Mississippi,Alabama
The Strawberry Museum in the town of Wepion is in which country?,Belgium,Netherlands,France,Germany
The Hotel Matignon is the official residence of the Prime Minister of which European country?,France,Germany,Italy,Spain
Which British politician became Member of Parliament for Epping in October 1924?,Winston Churchill,Clement Attlee,Neville Chamberlain,David Lloyd George
‘The Crafty Cockney’ was the nickname of which British darts player?,Eric Bristow,Sid Waddell,Phil Taylor,Jocky Wilson
Which famous jewellers makes the Super Bowl Trophy?,Tiffany & Co.,Harry Winston,Cartier,Bvlgari
"Bedloe’s Island in New York Harbour, is the former name of which island?",Liberty Island,Ellis Island,Governor's Island,Roosevelt Island
What is the name of the Jewish spring festival which celebrates the exodus of the Israelites from Egypt?,Passover,Hanukkah,Purim,Sukkot
Sadler’s Wells Ballet and the Vic-Wells Ballet were the previous names of which British ballet company?,The Royal Ballet,The Birmingham Royal Ballet,The English National Ballet,The Northern Ballet
The roller coaster ride called Rita is located at which English theme park?,Alton Towers,Thorpe Park,Chessington World of Adventures,Legoland Windsor
Which is the first written single word number in which the letter ‘A’ appears?,Thousand,Million,Billion,Forty
In which year did Margaret Thatcher become British Prime Minister?,1979,1975,1982,1980
"In January 1957, Russell Endean became the first batsman to be dismissed from a test cricket match for doing what?",Handling the ball,Obstructing the field,Bowled out without a run,Caught out without a valid ball
What type of animal is a dik-dik?,Antelope,Gazelle,Deer,Ibex
"Isoprene, Butyl and Nitrile are all types of which substance?",Rubber,Plastic,Polyester,Silicone
Taka is the basic monetary unit of which country?,Bangladesh,Nepal,Bhutan,Myanmar
Who does Emilio Estevez play in the 1988 film ‘Young Guns’?,Billy the Kid,Doc Scurlock,Chavez y Chavez,Joaquin Murrieta
Which Mediterranean island gained independence in 1959 under the presidency of Archbishop Makarios?,Cyprus,Malta,Sicily,Crete
"In medicine, chromotopsia is the term for abnormally coloured what?",Vision,Hearing,Smell,Taste
Wanlockhead is the highest village in which European country?,Scotland,Wales,Ireland,Norway
Which European country hosted the 1956 Winter Olympic Games?,Italy,Switzerland,Austria,Norway
‘Lofsongur’ is the national anthem of which country?,Iceland,Norway,Finland,Sweden
"In Roman mythology, what was the name of the brother slain by Romulus?",Remus,Tiberius,Julius,Aeneas
"In 1951, which European country saw the abdication of King Leopold lll in favour of his son Baudouin?",Belgium,Netherlands,Luxembourg,France
In medicine the MMR vaccination gives protection against which diseases?,"Measles, Mumps and Rubella","Measles, Chickenpox and Polio","Mumps, Rubella and Influenza","Measles, Tuberculosis and Hepatitis"
A saluki is which type of animal?,Dog,Cat,Horse,Rabbit
"What disease was Robert the Bruce, King of Scotland, said to have died of in 1329?",Leprosy,Dysentery,Tuberculosis,Malaria
‘Divine Wind’ is the English translation of which Japanese word?,Kamikaze,Tsunami,Samurai,Ronin
Which Flemish Baroque painter’s Antwerp home is now a museum?,Peter Paul Rubens,Anthony van Dyck,Jan Brueghel the Elder,Jacob Jordaens
"In medicine, epiphora affects which part of the human body?",Eye,Nose,Ear,Throat
What nationality was 19th Century author Hans Christian Anderson?,Danish,Swedish,Norwegian,Finnish
Umberto ll was the last king of which European country?,Italy,Spain,Greece,Portugal
Which US singing duo started out under the names Caesar and Cleo?,Sonny and Cher,Simon and Garfunkel,The Righteous Brothers,The Everly Brothers
"Fidel Castro, former President of Cuba, ordered which board game to be destroyed when he took power?",Monopoly,Risk,Scrabble,Chess
Which creature features on the label of a Bacardi rum bottle?,Bat,Parrot,Shark,Lizard
"According to the Bible, who was the only apostle to witness the crucifixion of Jesus?",John,Peter,James,Matthew
"Who played the role of Caligula in the 1976 UK tv series ‘I, Claudius’?",John Hurt,Derek Jacobi,Peter O'Toole,Anthony Hopkins
What colour is the cross on the national flag of Denmark?,White,Red,Blue,Green
Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,John Le Carre,Ian Fleming,Graham Greene,Robert Ludlum
"Composite, Shield and Cinder Cone are all types of what?",Volcano,Mountain,Earthquake,Plateau
Mouldwarp is an old name for which creature?,Mole,Badger,Ferret,Wombat
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine,Victor Laszlo,Captain Renault,Sam Wilson
What is the US state capital of Louisiana?,Baton Rouge,New Orleans,Shreveport,Lake Charles
What is the title of the 1996 Oscar-winning documentary about the Muhammad Ali and George Foreman 1974 ‘Rumble in the Jungle’ fight in Zaire?,When We Were Kings,Rumble in the Jungle,Ali: The Greatest,The Fight of the Century
The Battle of Vimy Ridge took place in which country during World War l?,France,Belgium,Germany,Italy
What colour is ‘Mr Man’ Mr Strong’s hat?,Green,Red,Blue,Yellow
What are the first names of art duo Proesch and Passmore?,Gilbert and George,Simon and Thomas,David and Michael,Henry and Edward
What was is the name of Penelope Pitstop’s car in the children’s tv cartoon series ‘Wacky Races’?,Compact Pussycat,Superfast Sedan,Racing Roadster,Turbo Troublemobile
The Wang River is in which Asian country?,Thailand,Vietnam,Malaysia,Cambodia
Which tennis player was known as the Rockhampton Rocket?,Rod Laver,Sam Stosur,Pat Rafter,Mark Philippoussis
The ports of Puck and Jastarnia are in which European country?,Poland,Lithuania,Germany,Denmark
